pkg, A_mk_path, B_mk_path, A_license, B_license, A_version, B_version, status
acl-manager, feeds/feed_amx/apps/acl-manager/Makefile, feeds/feed_amx/apps/acl-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.7.0-1, v0.7.0-1, same
amxb-inspect, feeds/feed_amx/apps/amxb-inspect/Makefile, feeds/feed_amx/apps/amxb-inspect/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.2.1-1, v1.2.1-1, same
amx-cli, feeds/feed_amx/apps/amx-cli/Makefile, feeds/feed_amx/apps/amx-cli/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.5.1-1, v0.5.1-1, same
amx-faultmonitor, feeds/feed_debug/plugins/amx-faultmonitor/Makefile, feeds/feed_debug/plugins/amx-faultmonitor/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.9-1, v1.0.9-1, same
amx-fcgi, feeds/feed_amx/apps/amx-fcgi/Makefile, feeds/feed_amx/apps/amx-fcgi/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.3.9-1, v1.3.9-1, same
amxo-cg, feeds/feed_amx/apps/amxo-cg/Makefile, feeds/feed_amx/apps/amxo-cg/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.5.4-1, v1.5.4-1, same
amx-processmonitor, feeds/feed_net_services/plugins/amx-processmonitor/Makefile, feeds/feed_net_services/plugins/amx-processmonitor/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.4-1, v0.2.4-1, same
amxrt, feeds/feed_amx/apps/amxrt/Makefile, feeds/feed_amx/apps/amxrt/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.2.0-1, v2.2.0-1, same
board-configurator, feeds/feed_board_configuration/utilities/board-configurator/Makefile, feeds/feed_board_configuration/utilities/board-configurator/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.9.3-1, v1.10.6-1, diff
chrony-prpl, feeds/feed_opensource/packages/net/chrony-prpl/Makefile, feeds/feed_opensource/packages/net/chrony-prpl/Makefile, GPL-2.0, GPL-2.0, gen_4.4_v0.1.0-1, gen_4.4_v0.1.0-1, same
cthulhu, feeds/feed_lcm/apps/cthulhu/Makefile, feeds/feed_lcm/apps/cthulhu/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v3.9.0-1, mainline-3.2_v0.1.0-2, diff
cthulhu-dhcpc, feeds/feed_lcm/plugins/cthulhu/cthulhu-dhcpc/Makefile, feeds/feed_lcm/plugins/cthulhu/cthulhu-dhcpc/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.3.0-1, v1.3.0-1, same
cthulhu-lxc, feeds/feed_lcm/mods/cthulhu-lxc/Makefile, feeds/feed_lcm/mods/cthulhu-lxc/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.10.0-1, v1.0.1-1, diff
cthulhu-networking, feeds/feed_lcm/plugins/cthulhu/cthulhu-networking/Makefile, feeds/feed_lcm/plugins/cthulhu/cthulhu-networking/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.4-1, v0.2.4-1, same
cthulhu-onboarding, feeds/feed_lcm/plugins/cthulhu/cthulhu-onboarding/Makefile, feeds/feed_lcm/plugins/cthulhu/cthulhu-onboarding/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.0-1, v1.0.0-1, same
cthulhu-plugin-usp, feeds/feed_lcm/plugins/cthulhu/cthulhu-plugin-usp/Makefile, feeds/feed_lcm/plugins/cthulhu/cthulhu-plugin-usp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.2-1, v0.3.0-1, diff
debug-information, feeds/feed_debug/utilities/debug-information/Makefile, feeds/feed_debug/utilities/debug-information/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.21-1, v0.1.21-1, same
deviceinfo-manager, feeds/feed_net_services/plugins/deviceinfo-manager/Makefile, feeds/feed_net_services/plugins/deviceinfo-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.33.33-1, v2.33.34-1, diff
dhcpv4-manager, feeds/feed_net_core/plugins/dhcpv4-manager/Makefile, feeds/feed_net_core/plugins/dhcpv4-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.12.14-1, v2.12.18-2, diff
dhcpv6s-manager, feeds/feed_net_core/plugins/dhcpv6s-manager/Makefile, feeds/feed_net_core/plugins/dhcpv6s-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.20.8-1, v0.20.8-1, same
dmtui, feeds/feed_amx/apps/dmtui/Makefile, feeds/feed_amx/apps/dmtui/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.3.3-1, v0.3.3-1, same
dnsmasq-prpl, feeds/feed_opensource/base/network/services/dnsmasq-prpl/Makefile, feeds/feed_opensource/base/network/services/dnsmasq-prpl/Makefile, GPL-2.0, GPL-2.0, gen_2.90_v0.2.3-1, gen_2.90_v0.2.3-1, same
ethernet-manager, feeds/feed_net_core/plugins/ethernet-manager/Makefile, feeds/feed_net_core/plugins/ethernet-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.21.11-1, v1.21.11-1, same
fcgi, feeds/feed_opensource/sah/fcgi/Makefile, feeds/feed_opensource/sah/fcgi/Makefile, MIT, MIT, 2.4.2-1, 2.4.2-1, same
fcgixx, feeds/feed_opensource/sah/fcgi/Makefile, feeds/feed_opensource/sah/fcgi/Makefile, MIT, MIT, 2.4.2-1, 2.4.2-1, same
gmap-client, feeds/feed_gmap/apps/gmap-client/Makefile, feeds/feed_gmap/apps/gmap-client/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.3.1-1, v1.3.1-1, same
gmap-mibs-common, feeds/feed_gmap/configs/gmap-mibs-common/Makefile, feeds/feed_gmap/configs/gmap-mibs-common/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.24.2-1, v0.24.2-1, same
gmap-mod-ethernet-dev, feeds/feed_gmap/apps/gmap-mod-ethernet-dev/Makefile, feeds/feed_gmap/apps/gmap-mod-ethernet-dev/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.20.0-1, v1.20.0-1, same
gmap-mod-mdns, feeds/feed_gmap/apps/gmap-mod-mdns/Makefile, feeds/feed_gmap/apps/gmap-mod-mdns/Makefile, SAH, SAH, v0.1.5-1, v0.1.5-1, same
gmap-mod-name-selector, feeds/feed_gmap/apps/gmap-mod-name-selector/Makefile, feeds/feed_gmap/apps/gmap-mod-name-selector/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.2-1, v1.0.2-1, same
gmap-mod-self, feeds/feed_gmap/apps/gmap-mod-self/Makefile, feeds/feed_gmap/apps/gmap-mod-self/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.7.0-1, v1.7.0-1, same
gmap-mod-services-db, feeds/feed_gmap/apps/gmap-mod-services-db/Makefile, feeds/feed_gmap/apps/gmap-mod-services-db/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.5-1, v0.2.5-1, same
gmap-mod-upnp, feeds/feed_gmap/apps/gmap-mod-upnp/Makefile, feeds/feed_gmap/apps/gmap-mod-upnp/Makefile, SAH, SAH, v0.3.0-1, v0.3.0-1, same
gmap-server, feeds/feed_gmap/apps/gmap-server/Makefile, feeds/feed_gmap/apps/gmap-server/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.14.0-1, v2.14.0-1, same
hosts-manager, feeds/feed_net_hl_services/plugins/hosts-manager/Makefile, feeds/feed_net_hl_services/plugins/hosts-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.9.1-1, mainline-3.2_v0.2.0-1, diff
image-authentication, feeds/feed_lcm/plugins/rlyeh/image-authentication/Makefile, feeds/feed_lcm/plugins/rlyeh/image-authentication/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.0-1, v0.1.0-1, same
ip-manager, feeds/feed_net_core/plugins/ip-manager/Makefile, feeds/feed_net_core/plugins/ip-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.47.6-1, mainline-3.2_v0.1.0-1, diff
kmod-mcastd-core, , feeds/feed_mcastd/kmods/mcastd-core/Makefile, , BSD-2-Clause-Patent, , <LINUX_VERSION>+v0.1.5-1, B only
kmod-mcastd-routing, , feeds/feed_mcastd/kmods/mcastd-routing/Makefile, , BSD-2-Clause-Patent, , <LINUX_VERSION>+v0.1.5-1, B only
libamxa, feeds/feed_amx/libs/libamxa/Makefile, feeds/feed_amx/libs/libamxa/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.11.1-1, v0.11.1-1, same
libamxb, feeds/feed_amx/libs/libamxb/Makefile, feeds/feed_amx/libs/libamxb/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v4.11.1-1, mainline-3.2_v0.1.1-1, diff
libamxc, feeds/feed_amx/libs/libamxc/Makefile, feeds/feed_amx/libs/libamxc/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.1.0-1, v2.1.0-1, same
libamxd, feeds/feed_amx/libs/libamxd/Makefile, feeds/feed_amx/libs/libamxd/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v6.5.5-1, v6.5.5-1, same
libamxj, feeds/feed_amx/libs/libamxj/Makefile, feeds/feed_amx/libs/libamxj/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.3-1, v1.0.3-1, same
libamxm, feeds/feed_amx/libs/libamxm/Makefile, feeds/feed_amx/libs/libamxm/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.0-1, v0.1.0-1, same
libamx-mqtt-client, feeds/feed_net_core/libs/libamx-mqtt-client/Makefile, feeds/feed_net_core/libs/libamx-mqtt-client/Makefile, SAH, SAH, v0.2.5-1, v0.2.5-1, same
libamxo, feeds/feed_amx/libs/libamxo/Makefile, feeds/feed_amx/libs/libamxo/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v5.0.2-1, v5.0.2-1, same
libamxp, feeds/feed_amx/libs/libamxp/Makefile, feeds/feed_amx/libs/libamxp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.3.0-1, v2.3.0-1, same
libamxrt, feeds/feed_amx/libs/libamxrt/Makefile, feeds/feed_amx/libs/libamxrt/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.6.3-1, mainline-3.2_v0.1.1-1, diff
libamxs, feeds/feed_amx/libs/libamxs/Makefile, feeds/feed_amx/libs/libamxs/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.6.4-1, v0.6.4-1, same
libamxt, feeds/feed_amx/libs/libamxt/Makefile, feeds/feed_amx/libs/libamxt/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.0-1, v1.0.0-1, same
libamxtui, feeds/feed_amx/libs/libamxtui/Makefile, feeds/feed_amx/libs/libamxtui/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.7-1, v0.1.7-1, same
libbart, feeds/feed_net_services/libs/libbart/Makefile, feeds/feed_net_services/libs/libbart/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.4.2-1, v1.4.2-1, same
libbotan, feeds/feed_opensource/sah/botan/Makefile, feeds/feed_opensource/sah/botan/Makefile, BSD-2-Clause, BSD-2-Clause, 2.19.4-3, 2.19.4-3, same
